demersal,weight_demersal,pelagic,weight_pelagic,shellfish,weight_shellfish
Bass,58,Blue Whiting,0,Cockles,2488
Bream,3,Herring,11204,Crabs,2301
Brill,25,Horse Mackerel,5,Cuttlefish,16
Cod,2759,Mackerel,406,Lobsters,546
Dogfish,102,Pilchards or Sardines,1041,Mussels,80
Gurnard,120,Other Pelagic,7,Nephrops,3803
Haddock,2372,,,Oysters,0
Hake,523,,,Scallops,2468
Halibut,19,,,Shrimps and Prawns,4
Lemon Sole,135,,,Squid,136
Ling,681,,,Whelks,1139
Megrim,324,,,Other Shellfish,132
Monks or Anglers,1186,,,,
Mullet,8,,,,
Plaice,238,,,,
Pollack (Lythe),54,,,,
Saithe,677,,,,
Sand Eels,0,,,,
Skates and Rays,181,,,,
Sole,168,,,,
Turbot,26,,,,
Whiting,886,,,,
Witch,90,,,,
Other Demersal,568,,,,
