species,weight_t
demersal,58
demersal,3
demersal,25
demersal,2759
demersal,102
demersal,120
demersal,2372
demersal,523
demersal,19
demersal,135
demersal,681
demersal,324
demersal,1186
demersal,8
demersal,238
demersal,54
demersal,677
demersal,0
demersal,181
demersal,168
demersal,26
demersal,886
demersal,90
demersal,568
pelagic,0
pelagic,11204
pelagic,5
pelagic,406
pelagic,1041
pelagic,7
shellfish,2488
shellfish,2301
shellfish,16
shellfish,546
shellfish,80
shellfish,3803
shellfish,0
shellfish,2468
shellfish,4
shellfish,136
shellfish,1139
shellfish,132
