species,price_t
demersal,11959
demersal,7398
demersal,9507
demersal,3418
demersal,334
demersal,1082
demersal,1419
demersal,2417
demersal,11645
demersal,3881
demersal,1193
demersal,1858
demersal,2933
demersal,3004
demersal,2260
demersal,3912
demersal,806
demersal,0
demersal,1336
demersal,13111
demersal,16309
demersal,1251
demersal,721
demersal,3174
pelagic,0
pelagic,592
pelagic,1031
pelagic,1151
pelagic,338
pelagic,363
shellfish,1085
shellfish,2251
shellfish,3901
shellfish,13734
shellfish,1000
shellfish,2566
shellfish,0
shellfish,1466
shellfish,3679
shellfish,3063
shellfish,1130
shellfish,5946
